tip	Strain	BioSample	GCA	GCA_noversion	match_source
SRR30888220	22ER0322	SAMN44062740	GCA_049249495.1	GCA_049249495	master_by_biosample_via_srr
SRR30888221	22ER0321	SAMN44062739	GCA_049249455.1	GCA_049249455	master_by_biosample_via_srr
SRR30888223	22ER0252	SAMN44062737	GCA_049249415.1	GCA_049249415	master_by_biosample_via_srr
SRR30888224	22ER0250	SAMN44062736	GCA_049249395.1	GCA_049249395	master_by_biosample_via_srr
SRR30888225	22ER0249	SAMN44062735	GCA_049249375.1	GCA_049249375	master_by_biosample_via_srr
SRR30888228	22ER0247	SAMN44062733	GCA_049249315.1	GCA_049249315	master_by_biosample_via_srr
SRR30888229	22ER0246	SAMN44062732	GCA_049249295.1	GCA_049249295	master_by_biosample_via_srr
SRR30888230	22ER0245	SAMN44062731	GCA_049249275.1	GCA_049249275	master_by_biosample_via_srr
SRR30888231	22ER0243	SAMN44062730	GCA_049249255.1	GCA_049249255	master_by_biosample_via_srr
SRR30888232	22ER0242	SAMN44062729	GCA_049249235.1	GCA_049249235	master_by_biosample_via_srr
SRR30888233	22ER0241	SAMN44062728	GCA_049249215.1	GCA_049249215	master_by_biosample_via_srr
SRR30888234	22ER0210	SAMN44062727	GCA_049249195.1	GCA_049249195	master_by_biosample_via_srr
SRR30888235	22ER0209	SAMN44062726	GCA_049249175.1	GCA_049249175	master_by_biosample_via_srr
SRR30888236	22ER0208	SAMN44062725	GCA_049248895.1	GCA_049248895	master_by_biosample_via_srr
SRR30888237	22ER0207	SAMN44062724	GCA_049248875.1	GCA_049248875	master_by_biosample_via_srr
SRR30888281	24ER1709	SAMN44062812	GCA_049028015.1	GCA_049028015	master_by_biosample_via_srr
SRR30888286	22ER2079	SAMN44062764	GCA_049027445.1	GCA_049027445	master_by_biosample_via_srr
SRR30888292	22ER1392	SAMN44062759	GCA_049027185.1	GCA_049027185	master_by_biosample_via_srr
SRR30888293	22ER1364	SAMN44062758	GCA_049027085.1	GCA_049027085	master_by_biosample_via_srr
SRR30888294	22ER1320	SAMN44062757	GCA_049027125.1	GCA_049027125	master_by_biosample_via_srr
SRR30888296	22ER1252	SAMN44062755	GCA_049026985.1	GCA_049026985	master_by_biosample_via_srr
SRR30888299	22ER1171	SAMN44062753	GCA_049268785.1	GCA_049268785	master_by_biosample_via_srr
SRR30888300	22ER0834	SAMN44062752	GCA_049268765.1	GCA_049268765	master_by_biosample_via_srr
SRR30888302	22ER0591	SAMN44062750	GCA_049268725.1	GCA_049268725	master_by_biosample_via_srr
SRR30888303	22ER0573	SAMN44062749	GCA_049268705.1	GCA_049268705	master_by_biosample_via_srr
SRR30888305	22ER0500	SAMN44062747	GCA_049268665.1	GCA_049268665	master_by_biosample_via_srr
SRR30888306	22ER0498	SAMN44062746	GCA_049904445.1	GCA_049904445	master_by_biosample_via_srr
SRR30888307	22ER0471	SAMN44062745	GCA_049268645.1	GCA_049268645	master_by_biosample_via_srr
SRR30888308	22ER0206	SAMN44062723	GCA_049268625.1	GCA_049268625	master_by_biosample_via_srr
SRR30888309	22ER0188	SAMN44062722	GCA_049268605.1	GCA_049268605	master_by_biosample_via_srr
SRR30888310	22ER0187	SAMN44062721	GCA_049268585.1	GCA_049268585	master_by_biosample_via_srr
SRR30888311	22ER0185	SAMN44062720	GCA_049267465.1	GCA_049267465	master_by_biosample_via_srr
SRR30888312	22ER0135	SAMN44062719	GCA_049268565.1	GCA_049268565	master_by_biosample_via_srr
